# x_local, y_local
455330.5389,4443617.2623
455330.5862,4443617.2465
455330.6334,4443617.2307
455330.6802,4443617.2136
455330.7267,4443617.1959
455330.7736,4443617.1789
455330.8204,4443617.1617
455330.8669,4443617.1436
455330.9130,4443617.1246
455330.9592,4443617.1055
455331.0058,4443617.0878
455331.0525,4443617.0702
455331.0989,4443617.0521
455331.1451,4443617.0333
455331.1913,4443617.0146
455331.2377,4443616.9963
455331.2842,4443616.9780
455331.3307,4443616.9598
455331.3773,4443616.9419
455331.4245,4443616.9257
455331.4724,4443616.9115
455331.5205,4443616.8979
455331.5683,4443616.8838
455331.6159,4443616.8690
455331.6633,4443616.8535
455331.7104,4443616.8371
455331.7574,4443616.8202
455331.8045,4443616.8033
455331.8517,4443616.7869
455331.8989,4443616.7704
455331.9458,4443616.7533
455331.9924,4443616.7356
455332.0387,4443616.7169
455332.0849,4443616.6979
455332.1310,4443616.6787
455332.1772,4443616.6597
455332.2237,4443616.6413
455332.2706,4443616.6239
455332.3176,4443616.6070
455332.3646,4443616.5898
455332.4115,4443616.5726
455332.4585,4443616.5556
455332.5056,4443616.5388
455332.5525,4443616.5214
455332.5991,4443616.5034
455332.6456,4443616.4851
455332.6920,4443616.4667
455332.7385,4443616.4483
455332.7848,4443616.4296
455332.8305,4443616.4094
455332.8759,4443616.3884
455332.9213,4443616.3678
455332.9669,4443616.3476
455333.0128,4443616.3281
455333.0588,4443616.3090
455333.1050,4443616.2901
455333.1510,4443616.2709
455333.1967,4443616.2512
455333.2419,4443616.2301
455333.2861,4443616.2069
455333.3296,4443616.1823
455333.3728,4443616.1569
455333.4156,4443616.1311
455333.4587,4443616.1058
455333.5023,4443616.0813
455333.5461,4443616.0572
455333.5895,4443616.0327
455333.6328,4443616.0080
455333.6763,4443615.9836
455333.7195,4443615.9589
455333.7621,4443615.9331
455333.8039,4443615.9060
455333.8450,4443615.8776
455333.8863,4443615.8495
455333.9282,4443615.8225
455333.9705,4443615.7960
455334.0127,4443615.7691
455334.0544,4443615.7419
455334.0957,4443615.7141
455334.1358,4443615.6848
455334.1750,4443615.6541
455334.2134,4443615.6223
455334.2516,4443615.5902
455334.2908,4443615.5594
455334.3312,4443615.5303
455334.3733,4443615.5034
455334.4164,4443615.4778
455334.4590,4443615.4518
455334.5009,4443615.4247
455334.5419,4443615.3964
455334.5822,4443615.3672
455334.6215,4443615.3366
455334.6601,4443615.3048
455334.6979,4443615.2723
455334.7354,4443615.2393
455334.7731,4443615.2066
455334.8110,4443615.1740
455334.8485,4443615.1409
455334.8855,4443615.1074
455334.9226,4443615.0740
455334.9596,4443615.0404
455334.9963,4443615.0065
455335.0329,4443614.9726
455335.0696,4443614.9387
455335.1066,4443614.9051
455335.1444,4443614.8723
455335.1827,4443614.8401
455335.2207,4443614.8077
455335.2580,4443614.7745
455335.2941,4443614.7400
455335.3289,4443614.7043
455335.3627,4443614.6675
455335.3959,4443614.6302
455335.4292,4443614.5928
455335.4628,4443614.5559
455335.4973,4443614.5197
455335.5324,4443614.4841
